,title,byline,dates,datetime,kw-China,kw-Ma
19323,A gamble that runs the risk of backfiring Moderate pan-democrats unlikely to be swayed to support reform proposal,"Leung, Ambrose.",15 Apr 2010,2010-04-15,False,False
19324,Currencies,Anonymous.,15 Apr 2010,2010-04-15,False,False
19325,"Floor to wages in sight, call is now for ceiling to work week",Staff Reporter.,15 Apr 2010,2010-04-15,False,False
19319,Hopefluent back on profit trail as market revives,"Liu, Yvonne.",15 Apr 2010,2010-04-15,False,True
19309,"HK's fund takes risk investing with hedge funds, private equity firms","Gough, Neil.",15 Apr 2010,2010-04-15,False,False
19308,Purely medicinal Alex Lo,alex.lo@scmp.com.,15 Apr 2010,2010-04-15,False,False
19307,News award,Anonymous.,15 Apr 2010,2010-04-15,False,False
19292,Events,Anonymous.,15 Apr 2010,2010-04-15,False,False
19293,Failure to find matching donor puts experimental surgery in picture,Anonymous.,15 Apr 2010,2010-04-15,False,True
19294,Firm may pull out of AsiaWorld-Expo if Wan Chai expands,"Eng, Dennis; Leung, Paggie.",15 Apr 2010,2010-04-15,False,True
19295,North/Northeast: Man killed in hotel blast,Anonymous.,15 Apr 2010,2010-04-15,False,True
19296,Government vows to rein in prices amid growth surge,Cary Huang in Beijing; Reuters in Washington.,15 Apr 2010,2010-04-15,False,False
19297,Beijing opens universities to Taiwanese students,Lawrence Chung in Taipei.,15 Apr 2010,2010-04-15,False,False
19298,Accentuate the positive when times are difficult,Anonymous.,15 Apr 2010,2010-04-15,False,False
19299,Feeling of dj vu for Sichuan's quake survivors,Zhuang Pinghui.,15 Apr 2010,2010-04-15,False,False
19300,"Curse of the 'tofu' schools strikes again As quake hits, thousands of Qinghai pupils become latest victims of shoddy building","Tam, Fiona.",15 Apr 2010,2010-04-15,False,False
19301,Propaganda chiefs ban reporters from outside quake zone,"Chan, Minnie.",15 Apr 2010,2010-04-15,False,False
19302,HK volunteer dies saving others,Anonymous.,15 Apr 2010,2010-04-15,False,False
19303,Economy,Anonymous.,15 Apr 2010,2010-04-15,False,False
19304,Condolences and aid pledges pour in,Staff Reporter.,15 Apr 2010,2010-04-15,False,False
19254,Plumbing woes mar Foster's architectural achievements,Anonymous.,15 Apr 2010,2010-04-15,False,True
19306,Proposal to allow bigger voice for smaller parties in district councils,Anonymous.,15 Apr 2010,2010-04-15,False,True
19290,Courts: [1],Anonymous.,15 Apr 2010,2010-04-15,False,False
19253,More must speak out before Thailand can move forward,ANALYSIS: thailand Greg Torode Chief Asia correspondent.,15 Apr 2010,2010-04-15,False,False
19317,In Brief,Anonymous.,15 Apr 2010,2010-04-15,False,False
6299,Boat pair fined over trip for Diaoyu activists,"Ng, Maggie.",16 Apr 2010,2010-04-16,False,False
6275,Economy,Anonymous.,16 Apr 2010,2010-04-16,False,False
6274,Eyebrows raised at Premier Wen's eulogyfor Hu Yaobang Wen's eulogy for deposed premierHu Yaobang raises eyebrows,"Tze-wei, Ng; Ma, Josephine.",16 Apr 2010,2010-04-16,False,False
6273,Results,Anonymous.,16 Apr 2010,2010-04-16,False,False
6272,HK & Delta,Anonymous.,16 Apr 2010,2010-04-16,False,False
6271,HSBC online investor service out for 82 minutes,Toh Han Shih.,16 Apr 2010,2010-04-16,False,False
6270,Lantau,Anonymous.,16 Apr 2010,2010-04-16,False,False
6276,Crime,Anonymous.,16 Apr 2010,2010-04-16,False,False
6269,Living on The Peak of perfection,Anonymous.,16 Apr 2010,2010-04-16,False,False
6267,"Quake rescuers battling the odds Altitude, language barrier and aftershocks complicate effort to find survivors in Yushu","Zuo, Mandy.",16 Apr 2010,2010-04-16,False,False
6266,Rail link,Anonymous.,16 Apr 2010,2010-04-16,False,False
6265,Table of Contents,Anonymous.,16 Apr 2010,2010-04-16,False,False
6264,Fujian protective clothing maker revives listing plan,"Lee, Amanda.",16 Apr 2010,2010-04-16,False,True
6263,Warning over karaoke prices amid label row,"Chiu, Austin.",16 Apr 2010,2010-04-16,False,False
6262,"In biting cold, survivors wait for food and shelter",Zhuang Pinghui.,16 Apr 2010,2010-04-16,False,False
6268,NEWS SECTION A scmp.com today CITY.LIFE.SPORT SECTION C BUSINESS SECTION B,Anonymous.,16 Apr 2010,2010-04-16,False,False
6277,City,Anonymous.,16 Apr 2010,2010-04-16,False,False
6278,China hopes to halve trade surplus this yearChina aims to halve trade surplus,"Tsang, Denise.",16 Apr 2010,2010-04-16,False,False
6279,Business,Anonymous.,16 Apr 2010,2010-04-16,False,False
6295,In Brief,Anonymous.,16 Apr 2010,2010-04-16,False,False
6294,Mark Six,Anonymous.,16 Apr 2010,2010-04-16,False,True
6293,Ladies with sharp heels cause ruckus at the Landmark,Anonymous.,16 Apr 2010,2010-04-16,False,True
6291,Taizinai does not accept bankruptcy Dairy group in provisional liquidation refuses to recognise Caymans court,"Rovnick, Naomi; Toh Han Shih.",16 Apr 2010,2010-04-16,False,True
6290,New treatment for liver cancer,"Yuk-hang, Ng.",16 Apr 2010,2010-04-16,False,False
6289,Reality comes calling on lively grannies,Anonymous.,16 Apr 2010,2010-04-16,False,False
6288,Seats offer fails to convince democrats,"Leung, Ambrose.",16 Apr 2010,2010-04-16,False,False
6287,Shui On Land profit up 49pc on strong sales,"Li, Sandy.",16 Apr 2010,2010-04-16,False,False
6286,"Some reform voices resonate more than others, it appears",Fanny W.Y. Fung.,16 Apr 2010,2010-04-16,False,False
6285,'No overseas dilution intended',Anonymous.,16 Apr 2010,2010-04-16,False,False
6284,Two vehicles crash as drivers pick up items from car floors,"Lo, Clifford.",16 Apr 2010,2010-04-16,False,False
6283,Shortage of nurses hitstransplantservice Lives at risk as wait for bone marrow doubles,"Lee, Ella.",16 Apr 2010,2010-04-16,False,True
6282,Eileen Chang's English debut falls flat,"Yau, Elaine.",16 Apr 2010,2010-04-16,False,False
6281,'Most taxi drivers' want flag-fall rise,"Lam, Anita.",16 Apr 2010,2010-04-16,False,False
6280,Beijing toughens up property price curbs after record rise,"Li, Sandy.",16 Apr 2010,2010-04-16,False,False
6261,MyCar faces test on 'Bright Green Island',Anonymous.,16 Apr 2010,2010-04-16,False,False
6260,Praise for a hero who died trying to save trapped victims,"Ivan Zhai in Xining; Tsang, Phyllis.",16 Apr 2010,2010-04-16,False,False
6259,To another 10 years,Anonymous.,16 Apr 2010,2010-04-16,False,False
6258,"Forearmed by Sichuan, military response swift",Anonymous.,16 Apr 2010,2010-04-16,False,False
6238,"Cheese prices rocket, but it's not all bad news","Nip, Amy.",16 Apr 2010,2010-04-16,False,False
6237,Drivers overpaying because firms don't stock cheaper fuel,Anonymous.,16 Apr 2010,2010-04-16,False,False
6236,Driving ban period doubled for bus driver in fatal crash,"Tsui, Yvonne.",16 Apr 2010,2010-04-16,False,False
6235,"Engine-off rule will take toll on men and cars, drivers say",Anonymous.,16 Apr 2010,2010-04-16,False,False
6234,GDP continues 'blistering' growth in Q1 Yuan revaluation talk revived as China's economy grows 12pc in first three months,Cary Huang in Beijing.,16 Apr 2010,2010-04-16,False,False
6233,'Clean' list mulled on storage of ashes Increase in supply of niches being studied,"Nip, Amy; Kang-chung, Ng.",16 Apr 2010,2010-04-16,False,False
6232,In Brief,Anonymous.,16 Apr 2010,2010-04-16,False,False
6231,Star tutor drops writ after film-makers publish apology,"Chiu, Austin.",16 Apr 2010,2010-04-16,False,True
6230,"When you think of giving, think of Wong Fuk-wing",Anonymous.,16 Apr 2010,2010-04-16,False,False
6229,'Lucky break' wraps up ties Mainland's appetite for luxury goods saves the day for European country's mink fur trade. Reports by Martin Donovan,Anonymous.,16 Apr 2010,2010-04-16,False,True
6228,Charities helping the victims [Derived headline],Anonymous.,16 Apr 2010,2010-04-16,False,False
6227,Coup for ICBC as former Deutsche Bank China chief Zhang climbs on board,Daniel Ren in Shanghai.,16 Apr 2010,2010-04-16,False,False
6226,Legal columbariums,Anonymous.,16 Apr 2010,2010-04-16,False,False
6225,Firm stays committed to environment,Anonymous.,16 Apr 2010,2010-04-16,False,False
6298,Events,Anonymous.,16 Apr 2010,2010-04-16,False,False
6239,3-minute grace period for idling ban Drivers and traffic wardens say mooted concession would create confusion and disputes,"Chi-fai, Cheung.",16 Apr 2010,2010-04-16,False,False
6296,How the numbers add up,Anonymous.,16 Apr 2010,2010-04-16,False,False
6240,Gaming,Anonymous.,16 Apr 2010,2010-04-16,False,False
6242,Hopes raised of accommodating attitude towards reporters,Anonymous.,16 Apr 2010,2010-04-16,False,False
6257,Parents dig with bare hands for trapped children Yushu rescue effort hampered by lack of tools and rescue workers,"Tam, Fiona.",16 Apr 2010,2010-04-16,False,False
6256,"Offer to help rejected, but Taiwan stands by",Lawrence Chung in Taipei.,16 Apr 2010,2010-04-16,False,False
6255,Supervisors needed to support growth How much you earn,Anonymous.,16 Apr 2010,2010-04-16,False,False
6254,top jobs,Anonymous.,16 Apr 2010,2010-04-16,False,False
6253,"Warning of more powerful aftershocks Tremors of magnitude 6 possible, says forecaster","Li, Raymond.",16 Apr 2010,2010-04-16,False,True
6252,Around the Nation,Anonymous.,16 Apr 2010,2010-04-16,False,False
6251,in the news,Anonymous.,16 Apr 2010,2010-04-16,False,False
6250,The tale of Goldilocks and those big bad China bears,Anonymous.,16 Apr 2010,2010-04-16,False,False
6249,Techno-cats have many lives,Anonymous.,16 Apr 2010,2010-04-16,False,True
6248,Full disclosure,Anonymous.,16 Apr 2010,2010-04-16,False,False
6247,Government's energy policies half-hearted,Anonymous.,16 Apr 2010,2010-04-16,False,False
6246,Sino-US foundation is more of a bridge-builder than go-between,Anonymous.,16 Apr 2010,2010-04-16,False,False
6245,"You can lead a horse to water, but {hellip}",Anonymous.,16 Apr 2010,2010-04-16,False,False
6244,Japan's Piago store to enter HK market in first overseas venture,"Sun, Celine.",16 Apr 2010,2010-04-16,False,True
6243,Steps to protect flat buyers are welcome,Anonymous.,16 Apr 2010,2010-04-16,False,False
6241,HK to show it has the smarts on urban life,"Leung, Paggie.",16 Apr 2010,2010-04-16,False,True
6297,HK scientists to map genetics of tumours,Anonymous.,16 Apr 2010,2010-04-16,False,True
6292,Lawyers warned against delaying tactics,"Wong, Albert.",16 Apr 2010,2010-04-16,False,False
6300,"Bawang to branch out into drinks, cleaning products as net rises 29pc","Steger, Isabella.",16 Apr 2010,2010-04-16,False,False
6301,Announcements,Anonymous.,16 Apr 2010,2010-04-16,False,False
6302,Agile earnings slump but revenue climbs 43pc on growth in sales,"Liu, Yvonne.",16 Apr 2010,2010-04-16,False,False
6303,Index futures expected to draw strong response from fund managers,"Lee, Amanda.",16 Apr 2010,2010-04-16,False,True
6374,The number's up for developers who skip floors Guidelines restrict property firms to omitting unlucky 4 and 13,"Leung, Paggie.",17 Apr 2010,2010-04-17,False,False
6329,Cathay has no greater priority than the safety of passengers,Anonymous.,17 Apr 2010,2010-04-17,False,False
6373,"No, this is not a photo from the latest earthquake zone",Anonymous.,17 Apr 2010,2010-04-17,False,False
6331,Principals dispute official count of schoolchildren killed in quake,"Tam, Fiona.",17 Apr 2010,2010-04-17,False,False
6332,Travel chaos from ash cloud worsens and ripples to Asia Hong Kong suffers more flight cancellations and delays,"aviation Agencies; Lam, Anita.",17 Apr 2010,2010-04-17,False,False
6333,Suspended death sentence masks string-pulling saga,Anonymous.,17 Apr 2010,2010-04-17,False,True
6334,Miracle-landing crew none the worse for wear,Anonymous.,17 Apr 2010,2010-04-17,False,False
6335,Hand of hope,Anonymous.,17 Apr 2010,2010-04-17,False,False
6336,Rescue effort unites Tibetans and Han Monks join search for quake survivors and help transport bodies to monasteries,"Li, Raymond.",17 Apr 2010,2010-04-17,False,False
6337,Home affairs minister recommends hero get HK's top bravery award,Anonymous.,17 Apr 2010,2010-04-17,False,False
6338,Charities helping the victims [Derived headline],Anonymous.,17 Apr 2010,2010-04-17,False,False
6340,Waiting list for cramped container homes,He Huifeng.,17 Apr 2010,2010-04-17,False,False
6328,HK taxi drivers should polish basic skills,Anonymous.,17 Apr 2010,2010-04-17,False,False
6341,Fanling residential site to be auctioned after HK$1b pledge,"Liu, Yvonne.",17 Apr 2010,2010-04-17,False,False
6342,Doctors 'like soldiers who have no guns',Ivan Zhai in Xining.,17 Apr 2010,2010-04-17,False,False
6343,Equities,Anonymous.,17 Apr 2010,2010-04-17,False,False
6344,Tensions rise as hopes for more survivors fade Quake victims scramble for relief supplies; death toll grows,Ng Tze-wei in Qinghaiand Shi Jiangtao in Beijing.,17 Apr 2010,2010-04-17,False,False
6345,Sport,Anonymous.,17 Apr 2010,2010-04-17,False,False
6346,Resources firms advised to tread softly when buying abroad,Howard Winn in Shanghai.,17 Apr 2010,2010-04-17,False,False
6347,Red faces as heritage found to be skin deep,"Ng, Joyce.",17 Apr 2010,2010-04-17,False,False
6348,NEWS SECTION A CITY.LIFE.SPORT SECTION C BUSINESS SECTION B,Anonymous.,17 Apr 2010,2010-04-17,False,False
6339,Understanding global issues is key International Relations,"Bendrix, Maurice.",17 Apr 2010,2010-04-17,False,False
6327,New concession,Anonymous.,17 Apr 2010,2010-04-17,False,False
6324,"Girl, 17, held after newborn found dead","Lo, Clifford.",17 Apr 2010,2010-04-17,False,False
6325,"Restaurants in hiring drive With people spending again on fine food, the city's eateries are planning to expand, writes Jan Chan",Anonymous.,17 Apr 2010,2010-04-17,False,False
6304,Beijing: Fewer exam cheats caught,Anonymous.,17 Apr 2010,2010-04-17,False,False
6305,Travel agency seeks 70 staff,Anonymous.,17 Apr 2010,2010-04-17,False,False
6306,"May Law, director of Asia-Pacific, ACCA (Association of Chartered Certified Accountants) [Derived headline]",Anonymous.,17 Apr 2010,2010-04-17,False,True
6307,Girl pulled out alive after almost 54 hours More rescues likely after survivors' voices heard,"Ivan Zhai in Xining; Chi-yuk, Choi.",17 Apr 2010,2010-04-17,False,False
6308,Banker cashes in on his experience,Anonymous.,17 Apr 2010,2010-04-17,False,False
6309,"Asian schools start to make up ground Kellogg's dean pays tribute to the region's prestigious institutions as their business education programmes rise in prominence, writes Maurice Bendrix business schools",Anonymous.,17 Apr 2010,2010-04-17,False,True
6310,Altitude sickness hits rescuers and press from the coast,Anonymous.,17 Apr 2010,2010-04-17,False,False
6311,HK Airlines to begin daily Shantou service,"So, Charlotte.",17 Apr 2010,2010-04-17,False,False
6312,US think tank urges bilateral investment pact,"Tsang, Denise.",17 Apr 2010,2010-04-17,False,False
6313,Test probes whether candidates are suitable for programmes GMAT,"Bendrix, Maurice.",17 Apr 2010,2010-04-17,False,True
6314,Robust debut for stock index futures 60.5b yuan turnover beats estimates as investors bet on strong outlook for equities,Daniel Ren in Shanghai.,17 Apr 2010,2010-04-17,False,True
6315,Rita Fan hails democratsand craves compromise,"Leung, Ambrose.",17 Apr 2010,2010-04-17,False,False
6316,In Brief,Anonymous.,17 Apr 2010,2010-04-17,False,False
6317,Importance: [1],Anonymous.,17 Apr 2010,2010-04-17,False,False
6318,Importance,Anonymous.,17 Apr 2010,2010-04-17,False,False
6319,"Downturn magnifies need for good leaders Competence, honesty and ability to look to the future are essential characteristics, writes Richard Watt Leadership",Anonymous.,17 Apr 2010,2010-04-17,False,True
6320,'Highest achievement' for two of HK's universities Accreditation,"Watt, Richard.",17 Apr 2010,2010-04-17,False,False
6321,HK workers want security,Anonymous.,17 Apr 2010,2010-04-17,False,False
6322,Rising star Wan named mayor of Guangzhou,Mimi Lau in Guangzhou.,17 Apr 2010,2010-04-17,False,True
6323,Rotting bodies add disease risk to survivors' woes,Agence France-Presse in Jiegu; Zhuang Pinghui.,17 Apr 2010,2010-04-17,False,False
6349,Made for China is luxury marques' new mantra Made for China is the new mantra for luxury-car designers,Kandy Wong in Beijing.,17 Apr 2010,2010-04-17,False,True
6326,"Time to curb 'clubs', but let's also cut red tape",Anonymous.,17 Apr 2010,2010-04-17,False,False
6350,International,Anonymous.,17 Apr 2010,2010-04-17,False,False
6330,BRICs' currency move sensible strategic goal,Anonymous.,17 Apr 2010,2010-04-17,False,False
6352,"iCable rejects ATV, TVB counteroffer for World Cup rights","Kang-chung, Ng.",17 Apr 2010,2010-04-17,False,False
6375,First banker to testify in Lehman inquiry defends minibond sales,"Eng, Dennis.",17 Apr 2010,2010-04-17,False,True
6376,A good deed that could steal your heart,Anonymous.,17 Apr 2010,2010-04-17,False,False
6377,Heritage warning for Fringe Club,"Ng, Joyce.",17 Apr 2010,2010-04-17,False,False
6378,Fake-notes scam comes unstuck when cabbie hailed second time,"Man, Joyce.",17 Apr 2010,2010-04-17,False,False
6379,In Brief,Anonymous.,17 Apr 2010,2010-04-17,False,False
6351,China Power seeks 15.8pc power price rise to offset higher coal costs,"Ng, Eric.",17 Apr 2010,2010-04-17,False,False
6372,18 events apply to tourism fund,"Eng, Dennis.",17 Apr 2010,2010-04-17,False,False
6371,Quotes of the Week,Anonymous.,17 Apr 2010,2010-04-17,False,False
6370,Railway Erju aims to raise revenue on strong construction orders,Toh Han Shih.,17 Apr 2010,2010-04-17,False,False
6369,Swire property arm for spin-off,"Li, Sandy.",17 Apr 2010,2010-04-17,False,False
6368,Table of Contents,Anonymous.,17 Apr 2010,2010-04-17,False,False
6367,Tony Chan ordered to pay foundation's HK$140m legal bill,"Tsui, Yvonne.",17 Apr 2010,2010-04-17,False,False
6366,Demand forces police drug dogs to put off retirement,"Tsang, Phyllis.",17 Apr 2010,2010-04-17,False,True
6380,Joyce shares rebound after privatisation rejected,"Sun, Celine.",17 Apr 2010,2010-04-17,False,False
6364,"Demolition crew dumped asbestos, villagers say Residents ignorant of health risks reused dangerous roofing","Nip, Amy.",17 Apr 2010,2010-04-17,False,False
6356,Courts,Anonymous.,17 Apr 2010,2010-04-17,False,False
6355,Courts: [1],Anonymous.,17 Apr 2010,2010-04-17,False,False
6357,Business,Anonymous.,17 Apr 2010,2010-04-17,False,False
6354,Crime,Anonymous.,17 Apr 2010,2010-04-17,False,False
6359,'Members only' clubs bypass restrictions Legal loophole in licensing system abused to avoid strict food and hygiene regulations,"Ng, Maggie.",17 Apr 2010,2010-04-17,False,False
6365,City Forum security to be improved,"Kang-chung, Ng.",17 Apr 2010,2010-04-17,False,False
6361,Confucianism comes to the rescue of a slighted meritocracy,Anonymous.,17 Apr 2010,2010-04-17,False,False
6362,Ocean Park eyes deal to import dolphinsOcean Park eyes deal leading to dolphin imports,"Parry, Simon; Chi-fai, Cheung.",17 Apr 2010,2010-04-17,False,False
6363,Events,Anonymous.,17 Apr 2010,2010-04-17,False,False
6353,"Delta firms urge hukoureform amid labour shortage Employers want rules on hiring eased, and labour imports","Lai, Chloe.",17 Apr 2010,2010-04-17,False,False
6360,Everyone can get into the swing,Anonymous.,17 Apr 2010,2010-04-17,False,False
6358,Bankruptcies,Anonymous.,17 Apr 2010,2010-04-17,False,False
6384,Exemptions undermine efforts to clean up air,Anonymous.,18 Apr 2010,2010-04-18,False,False
6383,Maintaining prosperity is more important than closing income gap,Anonymous.,18 Apr 2010,2010-04-18,False,True
6382,Silence not golden,Anonymous.,18 Apr 2010,2010-04-18,False,False
6381,Exco chief in rare attack on lawmakers of trade-based seats,"Fung, Fanny W Y.",18 Apr 2010,2010-04-18,False,True
6405,Nurses may be hired from Philippines,"Carney, John.",18 Apr 2010,2010-04-18,False,True
6385,Surprising departure,Anonymous.,18 Apr 2010,2010-04-18,False,False
6406,Back to the future,Anonymous.,18 Apr 2010,2010-04-18,False,False
6407,"Family demands truth behind teen's death Foxconn says worker died in fall, but relatives find suspicious wounds and edited tape","Fox, Yi Hu.",18 Apr 2010,2010-04-18,False,True
6404,New bid for Tony Chan to hand over Wang 'will',"Man, Joyce.",18 Apr 2010,2010-04-18,False,False
6386,Quake survivors still lack water and tents Relief effort in devastated town disorganised,Ng Tze-wei in Jiegu; Qinghai.,18 Apr 2010,2010-04-18,False,False
6408,Your Money,Anonymous.,18 Apr 2010,2010-04-18,False,False
6388,"Battling altitude sickness, relatives retrieve body of HK hero killed rescuing victims",Anonymous.,18 Apr 2010,2010-04-18,False,False
6387,"Charities helping the victims, with their telephone numbers and bank account numbers [Derived headline]",Anonymous.,18 Apr 2010,2010-04-18,False,False
6403,Mark Six,Anonymous.,18 Apr 2010,2010-04-18,False,True
6402,International,Anonymous.,18 Apr 2010,2010-04-18,False,False
6401,Sport,Anonymous.,18 Apr 2010,2010-04-18,False,False
6400,NEWS SECTION scmp.com today SUNDAY SPORT THE REVIEW,Anonymous.,18 Apr 2010,2010-04-18,False,False
6399,Mass cremations for earthquake victimsMass cremations for quake victims,Ng Tze-wei in Jiegu; Qinghai; and Agencies.,18 Apr 2010,2010-04-18,False,True
6397,The bar owners who ban the service charge The bar owners who buck the service charge,"Carney, John.",18 Apr 2010,2010-04-18,False,False
6396,Saving the earth? Designs on dolphins 'put HK to shame',Anonymous.,18 Apr 2010,2010-04-18,False,False
6398,Exercisesshow PLAnavy's newstrengthExercises off Japan and Taiwan show PLA navy's new prowess Flotilla practising off Japan and Taiwan,Greg Torode Chief Asia correspondent.,18 Apr 2010,2010-04-18,False,False
6394,14 prizes for Post at rights awards,"Evans, Annemarie.",18 Apr 2010,2010-04-18,False,False
6393,Mainland's bankers face reckoning over easy credit,Anonymous.,18 Apr 2010,2010-04-18,False,True
6392,Tory victory may not spell doom and gloom for arts in Britain,Anonymous.,18 Apr 2010,2010-04-18,False,True
6391,In Brief,Anonymous.,18 Apr 2010,2010-04-18,False,False
6390,Web patrol with a real-life Big Brother A Guangdong cyber policeman explains how he keeps tabs on a city of three million,"Fox, Yi Hu.",18 Apr 2010,2010-04-18,False,True
6389,From Russia with love {hellip} for the party,Changing Faces.,18 Apr 2010,2010-04-18,False,False
6395,Ocean Park 'staff on boat that tried to trap dolphins',"Parry, Simon; Parry, Hazel.",18 Apr 2010,2010-04-18,False,False
6460,Garments,Anonymous.,19 Apr 2010,2010-04-19,False,False
6449,Estates' residents face daily struggle to make ends meet High jobless and divorce rates keep many people prisoner,"Nip, Amy; Chan, Kobi.",19 Apr 2010,2010-04-19,False,True
6463,Chief justice steps up bid for more free legal help Chief justice steps up bid to co-ordinate free legal services,"Wong, Albert.",19 Apr 2010,2010-04-19,False,False
6462,"China catching up with Europe on solar farms China and Asia catching up with Europe on solar farm capacity Installed capacity will rise 20-fold to 4,000 MW by 2012","Ng, Eric.",19 Apr 2010,2010-04-19,False,False
6465,Fortune Reit's HK$100m upgrade,"Li, Sandy.",19 Apr 2010,2010-04-19,False,False
6461,Conservation,Anonymous.,19 Apr 2010,2010-04-19,False,False
6459,Geologist finds his silver lining in Henan mine Geologist discovers his silver lining in Henan mine,"Winn, Howard.",19 Apr 2010,2010-04-19,False,False
6452,Park entrance to close,Anonymous.,19 Apr 2010,2010-04-19,False,False
6457,Restaurant owner's salty ways after salad days Restaurant owner's salty ways after salad days,"Steger, Isabella.",19 Apr 2010,2010-04-19,False,False
6456,Legal,Anonymous.,19 Apr 2010,2010-04-19,False,False
6455,Man leaps to rescue as bus driver collapses,"But, Joshua.",19 Apr 2010,2010-04-19,False,True
6454,NEWS SECTION A CITY.LIFE.SPORT SECTION C BUSINESS SECTION B,Anonymous.,19 Apr 2010,2010-04-19,False,False
6453,Panda experts prepare mate for Ying Ying,"Eng, Dennis.",19 Apr 2010,2010-04-19,False,True
6466,Insurers raise alarm at abuse of medical fees Insurers raise alarm at abuse of medical fees Action mulled to stem health claims,"Lee, Ella.",19 Apr 2010,2010-04-19,False,False
6451,Reform,Anonymous.,19 Apr 2010,2010-04-19,False,False
6450,Rescue,Anonymous.,19 Apr 2010,2010-04-19,False,False
6458,International,Anonymous.,19 Apr 2010,2010-04-19,False,False
6467,Serviced offices join media revolution,Anonymous.,19 Apr 2010,2010-04-19,False,False
6475,Survivors queue for tents and food Quake survivors queue for tents and food,Ng Tze-wei in Jiegu; Qinghai; Mandy Zuo in Beijing.,19 Apr 2010,2010-04-19,False,False
6469,'Asbestos dumping a scare tactic',"Ng, Joyce.",19 Apr 2010,2010-04-19,False,False
6486,Protesters seek changes to transport-fare formula,Tanna Chong.,19 Apr 2010,2010-04-19,False,False
6485,Announcements,Anonymous.,19 Apr 2010,2010-04-19,False,False
6484,Artistic carnival an insight into a battle of life and death,Anonymous.,19 Apr 2010,2010-04-19,False,False
6483,"Colleges ditch courses,citing rule to protectstudents from cheats","Yau, Elaine.",19 Apr 2010,2010-04-19,False,False
6482,Events,Anonymous.,19 Apr 2010,2010-04-19,False,False
6481,Fund facts,Anonymous.,19 Apr 2010,2010-04-19,False,False
6480,Minister heckled as 'Victoria Park brothers' hold sway,Anonymous.,19 Apr 2010,2010-04-19,False,False
6468,Airport,Anonymous.,19 Apr 2010,2010-04-19,False,False
6479,"The older he gets, the more daring jewellery designer is to try new things",Anonymous.,19 Apr 2010,2010-04-19,False,False
6477,Protesters urge smart cards for tunnel tolls,"Chiu, Austin.",19 Apr 2010,2010-04-19,False,True
6476,Public backing for reform not so clear cut Government accused of selectively using survey findings to support its views,"Fung, Fanny W Y; Tanna Chong.",19 Apr 2010,2010-04-19,False,False
6474,Table of Contents,Anonymous.,19 Apr 2010,2010-04-19,False,False
6473,Yoga students take complaint to police,"But, Joshua.",19 Apr 2010,2010-04-19,False,False
6472,Alliance protests at 'political suppression',"Kang-chung, Ng.",19 Apr 2010,2010-04-19,False,False
6471,"Customers feel squeeze as airlines cut costs As the industry struggles, carriers get creative","So, Charlotte.",19 Apr 2010,2010-04-19,False,False
6470,Democrat camp seeks to dock pay of ministers,"Wong, Albert.",19 Apr 2010,2010-04-19,False,False
6478,Smart set making a very sharp comeback,"Yiu, Enoch.",19 Apr 2010,2010-04-19,False,True
6448,City,Anonymous.,19 Apr 2010,2010-04-19,False,False
6464,Bodyguards and Assassins scoops up eight film awards Best screenplay goes to Echoes of the Rainbow,"Chiu, Austin; Nip, Amy.",19 Apr 2010,2010-04-19,False,False
6446,Rupert Utley Managing director LECG,Anonymous.,19 Apr 2010,2010-04-19,False,True
6424,Subcontractors take big bite of workers' pay,Tanna Chong.,19 Apr 2010,2010-04-19,False,False
6423,Beijing should ask Dalai Lama to help victims China Briefing,"Wang, Xiangwei.",19 Apr 2010,2010-04-19,False,True
6422,"Rob Jahrling Vice-president, CMO, Sydney Citi",Anonymous.,19 Apr 2010,2010-04-19,False,False
6421,High-profile ceremony for return of Hong Kong hero's body,Staff Reporters.,19 Apr 2010,2010-04-19,False,False
6420,Town grinds to a halt as president arrives,Anonymous.,19 Apr 2010,2010-04-19,False,False
6419,Two-time survivor can't stop smiling Wenchuan quake taught Li Yongjuan importance of fighting for your own survival,Ivan Zhai in Xining; Qinghai.,19 Apr 2010,2010-04-19,False,False
6418,Beijing: Survey on housing satisfaction,Anonymous.,19 Apr 2010,2010-04-19,False,False
6425,"David Schaefer Head of DTZ Investment Management, Asia-Pacific DTZ",Anonymous.,19 Apr 2010,2010-04-19,False,True
6417,Colin Banfield Head of mergers and acquisitions Citi,Anonymous.,19 Apr 2010,2010-04-19,False,False
6415,Dong Chen General manager Hoffman Agency Shanghai,Anonymous.,19 Apr 2010,2010-04-19,False,True
6414,"Karen Phin Managing director, capital management advisory, global banking Citi",Anonymous.,19 Apr 2010,2010-04-19,False,True
6413,Michael Ho Group financial controller Silk Road Hotels,Anonymous.,19 Apr 2010,2010-04-19,False,False
6411,Pramit Jhaveri Citi country officer Citi,Anonymous.,19 Apr 2010,2010-04-19,False,False
6410,Rebuilding planned as rescue goes on Scheme being created to turn quake-stricken county into a high-altitude ecological hub,"Chi-yuk, Choi.",19 Apr 2010,2010-04-19,False,False
6409,Jenny Chan Deputy general manager Hoffman Agency Hong Kong,Anonymous.,19 Apr 2010,2010-04-19,False,True
6447,Health monitoring scheme helps thousands of diabetics,"Chan, Kobi.",19 Apr 2010,2010-04-19,False,False
6416,"Charities helping the victims, with their telephone numbers and bank account numbers [Derived headline]",Anonymous.,19 Apr 2010,2010-04-19,False,False
